Id,ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
21122,3/18/2023,1398,42,0,0,0,0.889999985694885,0,0
21122,3/19/2023,1234,206,0,0,0,4.30999994277954,0,0
21122,3/20/2023,1054,363,23,0,0,5.88000011444092,0.709999978542328,0
21122,3/21/2023,547,183,0,0,0,3.07999992370605,0,0
21123,2/28/2023,667,255,0,0,0,4.23000001907349,0,0
21123,3/1/2023,753,180,0,0,0,3.40000009536743,0,0
21123,3/2/2023,753,201,10,0,0,3.28999996185303,0.170000001788139,0
21123,3/3/2023,617,239,0,0,0,4.40000009536743,0,0
21123,3/4/2023,734,302,0,0,0,6.09000015258789,0,0
21123,3/5/2023,557,321,0,0,0,5.94000005722046,0,0
21123,3/6/2023,776,153,0,0,0,2.01999998092651,0,0
21123,3/7/2023,549,271,0,0,0,3.86999988555908,0,0
21123,3/8/2023,1090,52,0,0,0,0.5,0,0
21123,3/9/2023,810,189,0,0,0,2.98000001907349,0,0
21123,3/10/2023,725,223,0,0,0,3.24000000953674,0,0
21123,3/11/2023,712,200,13,8,0,3.27999997138977,0.77999997138977,0.550000011920929
21123,3/12/2023,545,217,22,7,0,2.97000002861023,0.610000014305115,0.300000011920929
21123,3/13/2023,780,165,0,0,0,2.4300000667572,0,0
21123,3/14/2023,480,384,0,0,0,5.67000007629395,0,0
21123,3/15/2023,864,16,0,0,0,0.270000010728836,0,0
21123,3/16/2023,736,286,0,0,0,3.09999990463257,0,0
21123,3/17/2023,1069,371,0,0,0,5,0,0
21123,3/18/2023,675,235,0,0,0,3.80999994277954,0,0
21123,3/19/2023,710,194,0,0,0,3.75,0,0
21123,3/20/2023,0,17,0,0,0,0.270000010728836,0,0
21124,2/28/2023,590,264,35,6,0,3.57999992370605,0.930000007152557,0.170000001788139
21124,3/1/2023,476,280,6,44,0,4.84999990463257,0.009999999776483,0.300000011920929
21124,3/2/2023,716,200,0,0,0,3.63000011444092,0,0
21124,3/3/2023,619,270,22,41,0,4.1399998664856,0.050000000745058,0.25
