Id,ActivityDay,Calories
22216,3/4/2023,2662
22216,3/5/2023,2962
22216,3/6/2023,3376
22216,3/7/2023,2410
22216,3/8/2023,3104
22216,3/9/2023,2935
22216,3/10/2023,2681
22216,3/11/2023,2748
22216,3/12/2023,2556
22216,3/13/2023,3043
22216,3/14/2023,3151
22216,3/15/2023,2473
22216,3/16/2023,2781
22216,3/17/2023,2591
22216,3/18/2023,2555
22216,3/19/2023,2578
22216,3/20/2023,3387
22216,3/21/2023,3249
22216,3/22/2023,1970
22217,2/25/2023,2388
22217,2/26/2023,2077
22217,2/27/2023,2669
22217,2/28/2023,2281
22217,3/1/2023,2623
22217,3/2/2023,2740
22217,3/3/2023,2395
22217,3/4/2023,2083
22217,3/5/2023,1766
22217,3/6/2023,2499
22217,3/7/2023,2419
22217,3/8/2023,2461
22217,3/9/2023,2353
22217,3/10/2023,1993
22217,3/11/2023,1759
22217,3/12/2023,1524
22217,3/13/2023,1916
22217,3/14/2023,1530
22217,3/15/2023,2320
22217,3/16/2023,2166
22217,3/17/2023,1953
22217,3/18/2023,1758
22217,3/19/2023,1523
22217,3/20/2023,1523
22217,3/21/2023,1523
22217,3/22/2023,706
22218,3/1/2023,3080
22218,3/2/2023,2906
22218,3/3/2023,3060
22218,3/4/2023,2405
22218,3/5/2023,2143
22218,3/6/2023,2831
22218,3/7/2023,3099
22218,3/8/2023,3002
22218,3/9/2023,2787
22218,3/10/2023,2862
22218,3/11/2023,2253
22218,3/12/2023,2624
22218,3/13/2023,2122
22218,3/14/2023,2735
22218,3/15/2023,2363
22218,3/16/2023,2275
22218,3/17/2023,2424
22218,3/18/2023,2783
22218,3/19/2023,2554
22218,3/20/2023,2208
22218,3/21/2023,0
22301,2/25/2023,1532
22301,2/26/2023,1524
22301,2/27/2023,2520
22301,2/28/2023,2364
22301,3/1/2023,2169
22301,3/2/2023,2484
22301,3/3/2023,2450
22301,3/4/2023,1614
22301,3/5/2023,1960
22301,3/6/2023,2496
22301,3/7/2023,2352
22301,3/8/2023,2438
22301,3/9/2023,2749
22301,3/10/2023,2266
22301,3/11/2023,2625
22301,3/12/2023,2543
22301,3/13/2023,1827
22301,3/14/2023,2204
22301,3/15/2023,2609
22301,3/16/2023,2099
22301,3/17/2023,2514
22301,3/18/2023,2116
22301,3/19/2023,2201
22301,3/20/2023,2165
22301,3/21/2023,2187
22301,3/22/2023,1429
22302,2/25/2023,1297
22302,2/26/2023,1241
22302,2/27/2023,1657
22302,2/28/2023,1918
22302,3/1/2023,1836
22302,3/2/2023,1818
22302,3/3/2023,1779
22302,3/4/2023,1968
22302,3/5/2023,1817
22302,3/6/2023,1860
22302,3/7/2023,1874
22302,3/8/2023,1347
22302,3/9/2023,1871
22302,3/10/2023,1905
22302,3/11/2023,1795
22302,3/12/2023,1552
22302,3/13/2023,1929
22302,3/14/2023,1632
22302,3/15/2023,1846
22302,3/16/2023,1546
22302,3/17/2023,1887
22302,3/18/2023,1622
22302,3/19/2023,1702
